Target_IP,OID,Value,Result
192.168.12.93,.1.3.6.1.4.1.935.2.1.2.1.2.1,ˬ[,Successful
192.168.12.93,.1.3.6.1.4.1.935.2.1.2.1.5.1,1,Successful
